count,points
107,"[{""x"": 201.462, ""y"": 237.417}, {""x"": 197.462, ""y"": 168.084}, {""x"": 264.796, ""y"": 125.417}, {""x"": 294.796, ""y"": 114.75}, {""x"": 299.462, ""y"": 96.75}, {""x"": 316.129, ""y"": 99.417}, {""x"": 370.796, ""y"": 78.75}, {""x"": 398.796, ""y"": 97.417}, {""x"": 421.462, ""y"": 165.417}, {""x"": 424.129, ""y"": 232.75}, {""x"": 415.462, ""y"": 266.084}, {""x"": 334.796, ""y"": 298.084}, {""x"": 302.796, ""y"": 287.417}, {""x"": 277.462, ""y"": 302.75}, {""x"": 264.129, ""y"": 316.75}, {""x"": 245.462, ""y"": 307.417}, {""x"": 222.129, ""y"": 306.084}, {""x"": 202.796, ""y"": 247.417}]"
108,"[{""x"": 211.379, ""y"": 291.032}, {""x"": 199.379, ""y"": 212.366}, {""x"": 196.045, ""y"": 165.699}, {""x"": 250.712, ""y"": 130.366}, {""x"": 289.379, ""y"": 117.699}, {""x"": 305.379, ""y"": 97.032}, {""x"": 374.045, ""y"": 78.366}, {""x"": 402.712, ""y"": 93.032}, {""x"": 419.379, ""y"": 173.032}, {""x"": 423.379, ""y"": 247.699}, {""x"": 406.045, ""y"": 275.032}, {""x"": 330.045, ""y"": 299.032}, {""x"": 297.379, ""y"": 293.032}, {""x"": 277.379, ""y"": 299.032}, {""x"": 272.045, ""y"": 320.366}, {""x"": 256.045, ""y"": 306.366}, {""x"": 226.712, ""y"": 307.032}, {""x"": 218.045, ""y"": 301.032}]"
109,"[{""x"": 198.804, ""y"": 240.797}, {""x"": 197.209, ""y"": 168.239}, {""x"": 259.402, ""y"": 133.953}, {""x"": 290.498, ""y"": 118.007}, {""x"": 290.498, ""y"": 98.87}, {""x"": 307.243, ""y"": 98.87}, {""x"": 371.03, ""y"": 82.126}, {""x"": 401.329, ""y"": 97.276}, {""x"": 419.668, ""y"": 175.415}, {""x"": 428.439, ""y"": 244.784}, {""x"": 407.708, ""y"": 276.678}, {""x"": 332.757, ""y"": 303.787}, {""x"": 296.08, ""y"": 292.625}, {""x"": 267.375, ""y"": 302.193}, {""x"": 268.173, ""y"": 323.721}, {""x"": 250.631, ""y"": 303.787}, {""x"": 224.319, ""y"": 306.179}, {""x"": 205.183, ""y"": 249.568}]"
11,"[{""x"": 199.601, ""y"": 210.498}, {""x"": 204.385, ""y"": 151.495}, {""x"": 210.764, ""y"": 110.033}, {""x"": 222.724, ""y"": 78.14}, {""x"": 272.159, ""y"": 66.977}, {""x"": 313.621, ""y"": 80.532}, {""x"": 323.189, ""y"": 94.884}, {""x"": 340.731, ""y"": 113.223}, {""x"": 335.947, ""y"": 224.053}, {""x"": 323.189, ""y"": 259.934}, {""x"": 321.595, ""y"": 301.395}, {""x"": 324.784, ""y"": 336.478}, {""x"": 314.419, ""y"": 355.615}, {""x"": 301.661, ""y"": 361.196}, {""x"": 251.429, ""y"": 369.967}, {""x"": 213.156, ""y"": 357.209}, {""x"": 202.791, ""y"": 312.558}, {""x"": 196.412, ""y"": 283.056}, {""x"": 200.399, ""y"": 220.864}]"
110,"[{""x"": 202.831, ""y"": 242.592}, {""x"": 193.497, ""y"": 174.592}, {""x"": 252.831, ""y"": 133.925}, {""x"": 290.831, ""y"": 115.258}, {""x"": 316.831, ""y"": 95.925}, {""x"": 377.497, ""y"": 81.925}, {""x"": 399.497, ""y"": 95.925}, {""x"": 424.831, ""y"": 234.592}, {""x"": 407.497, ""y"": 277.258}, {""x"": 336.164, ""y"": 306.592}, {""x"": 297.497, ""y"": 290.592}, {""x"": 276.164, ""y"": 297.925}, {""x"": 268.164, ""y"": 317.258}, {""x"": 256.164, ""y"": 309.258}, {""x"": 222.831, ""y"": 307.925}, {""x"": 205.497, ""y"": 255.925}]"
111,"[{""x"": 199.304, ""y"": 233.417}, {""x"": 197.97, ""y"": 164.75}, {""x"": 257.97, ""y"": 129.417}, {""x"": 292.637, ""y"": 111.417}, {""x"": 337.97, ""y"": 84.084}, {""x"": 387.304, ""y"": 84.75}, {""x"": 415.97, ""y"": 151.417}, {""x"": 424.637, ""y"": 252.75}, {""x"": 401.97, ""y"": 282.084}, {""x"": 332.637, ""y"": 308.084}, {""x"": 288.637, ""y"": 288.75}, {""x"": 268.637, ""y"": 304.084}, {""x"": 268.637, ""y"": 322.75}, {""x"": 256.637, ""y"": 310.75}, {""x"": 219.97, ""y"": 306.084}, {""x"": 201.304, ""y"": 245.417}]"
112,"[{""x"": 197.209, ""y"": 224.053}, {""x"": 196.412, ""y"": 169.037}, {""x"": 287.309, ""y"": 112.425}, {""x"": 355.083, ""y"": 82.126}, {""x"": 390.166, ""y"": 86.113}, {""x"": 418.073, ""y"": 157.874}, {""x"": 420.465, ""y"": 250.365}, {""x"": 406.113, ""y"": 275.083}, {""x"": 330.365, ""y"": 313.355}, {""x"": 300.864, ""y"": 291.03}, {""x"": 265.781, ""y"": 297.409}, {""x"": 265.781, ""y"": 322.924}, {""x"": 222.724, ""y"": 310.166}, {""x"": 199.601, ""y"": 236.013}]"
113,"[{""x"": 198.512, ""y"": 230.797}, {""x"": 195.845, ""y"": 172.13}, {""x"": 251.179, ""y"": 129.464}, {""x"": 305.845, ""y"": 108.13}, {""x"": 326.512, ""y"": 89.464}, {""x"": 380.512, ""y"": 82.797}, {""x"": 413.845, ""y"": 147.464}, {""x"": 423.845, ""y"": 248.797}, {""x"": 401.179, ""y"": 279.464}, {""x"": 331.845, ""y"": 310.797}, {""x"": 305.179, ""y"": 291.464}, {""x"": 271.845, ""y"": 298.13}, {""x"": 267.179, ""y"": 321.464}, {""x"": 222.512, ""y"": 307.464}, {""x"": 219.179, ""y"": 287.464}, {""x"": 199.179, ""y"": 240.797}]"
114,"[{""x"": 203.933, ""y"": 237.322}, {""x"": 194.933, ""y"": 168.322}, {""x"": 253.933, ""y"": 127.322}, {""x"": 281.933, ""y"": 116.322}, {""x"": 341.933, ""y"": 88.322}, {""x"": 381.933, ""y"": 84.322}, {""x"": 413.933, ""y"": 148.322}, {""x"": 416.933, ""y"": 247.322}, {""x"": 405.933, ""y"": 276.322}, {""x"": 335.933, ""y"": 308.322}, {""x"": 279.933, ""y"": 296.322}, {""x"": 269.933, ""y"": 309.822}, {""x"": 267.933, ""y"": 321.822}, {""x"": 223.933, ""y"": 313.322}, {""x"": 213.933, ""y"": 284.822}, {""x"": 204.933, ""y"": 248.322}]"
115,"[{""x"": 198.007, ""y"": 234.419}, {""x"": 194.817, ""y"": 167.442}, {""x"": 272.159, ""y"": 119.601}, {""x"": 288.106, ""y"": 113.223}, {""x"": 286.512, ""y"": 94.086}, {""x"": 297.674, ""y"": 94.086}, {""x"": 306.445, ""y"": 104.452}, {""x"": 349.502, ""y"": 84.518}, {""x"": 386.977, ""y"": 84.518}, {""x"": 411.694, ""y"": 161.063}, {""x"": 418.073, ""y"": 256.744}, {""x"": 405.316, ""y"": 278.272}, {""x"": 335.947, ""y"": 308.571}, {""x"": 299.269, ""y"": 292.625}, {""x"": 265.781, ""y"": 301.395}, {""x"": 271.362, ""y"": 326.91}, {""x"": 253.821, ""y"": 314.153}, {""x"": 224.319, ""y"": 314.153}, {""x"": 221.13, ""y"": 292.625}, {""x"": 200.399, ""y"": 243.189}]"
116,"[{""x"": 196.989, ""y"": 226.258}, {""x"": 196.323, ""y"": 168.925}, {""x"": 224.989, ""y"": 143.592}, {""x"": 258.323, ""y"": 125.592}, {""x"": 295.656, ""y"": 111.592}, {""x"": 344.323, ""y"": 82.925}, {""x"": 383.656, ""y"": 82.925}, {""x"": 413.656, ""y"": 156.925}, {""x"": 418.323, ""y"": 256.925}, {""x"": 393.656, ""y"": 277.592}, {""x"": 334.989, ""y"": 314.258}, {""x"": 296.989, ""y"": 295.592}, {""x"": 268.323, ""y"": 300.258}, {""x"": 269.656, ""y"": 319.591}, {""x"": 225.656, ""y"": 310.925}, {""x"": 215.989, ""y"": 291.591}, {""x"": 201.656, ""y"": 237.591}]"
117,"[{""x"": 198.007, ""y"": 172.226}, {""x"": 245.847, ""y"": 135.548}, {""x"": 280.133, ""y"": 118.804}, {""x"": 278.538, ""y"": 100.465}, {""x"": 292.093, ""y"": 97.276}, {""x"": 298.472, ""y"": 113.223}, {""x"": 341.528, ""y"": 84.518}, {""x"": 379.003, ""y"": 81.329}, {""x"": 406.91, ""y"": 152.292}, {""x"": 417.276, ""y"": 228.837}, {""x"": 402.924, ""y"": 275.083}, {""x"": 332.757, ""y"": 310.166}, {""x"": 299.269, ""y"": 292.625}, {""x"": 266.578, ""y"": 303.787}, {""x"": 265.781, ""y"": 321.329}, {""x"": 225.914, ""y"": 313.355}, {""x"": 223.522, ""y"": 296.611}, {""x"": 209.967, ""y"": 288.638}, {""x"": 195.615, ""y"": 230.432}, {""x"": 192.425, ""y"": 181.794}]"
118,"[{""x"": 197.209, ""y"": 238.405}, {""x"": 190.831, ""y"": 177.807}, {""x"": 231.495, ""y"": 145.914}, {""x"": 284.917, ""y"": 117.209}, {""x"": 329.568, ""y"": 90.897}, {""x"": 382.193, ""y"": 78.937}, {""x"": 412.492, ""y"": 152.292}, {""x"": 413.289, ""y"": 257.542}, {""x"": 395.748, ""y"": 283.854}, {""x"": 332.757, ""y"": 311.761}, {""x"": 288.904, ""y"": 296.611}, {""x"": 265.781, ""y"": 307.774}, {""x"": 267.375, ""y"": 328.505}, {""x"": 225.116, ""y"": 312.558}, {""x"": 224.319, ""y"": 295.017}, {""x"": 207.575, ""y"": 285.449}, {""x"": 198.804, ""y"": 250.365}]"
119,"[{""x"": 195.068, ""y"": 243.051}, {""x"": 193.068, ""y"": 181.718}, {""x"": 237.068, ""y"": 135.718}, {""x"": 301.068, ""y"": 107.718}, {""x"": 333.068, ""y"": 85.718}, {""x"": 379.068, ""y"": 85.051}, {""x"": 405.068, ""y"": 146.384}, {""x"": 417.735, ""y"": 246.384}, {""x"": 407.735, ""y"": 276.384}, {""x"": 333.735, ""y"": 311.718}, {""x"": 297.068, ""y"": 295.051}, {""x"": 266.402, ""y"": 311.718}, {""x"": 264.402, ""y"": 327.051}, {""x"": 228.402, ""y"": 311.718}, {""x"": 222.402, ""y"": 297.384}, {""x"": 208.401, ""y"": 292.384}, {""x"": 199.068, ""y"": 249.718}]"
12,"[{""x"": 199.601, ""y"": 205.714}, {""x"": 205.183, ""y"": 151.495}, {""x"": 221.927, ""y"": 89.302}, {""x"": 241.86, ""y"": 75.748}, {""x"": 281.728, ""y"": 71.761}, {""x"": 315.216, ""y"": 82.924}, {""x"": 340.731, ""y"": 113.223}, {""x"": 343.123, ""y"": 144.319}, {""x"": 336.744, ""y"": 228.04}, {""x"": 322.392, ""y"": 256.744}, {""x"": 320, ""y"": 295.017}, {""x"": 324.784, ""y"": 330.1}, {""x"": 316.811, ""y"": 355.615}, {""x"": 304.85, ""y"": 362.791}, {""x"": 249.834, ""y"": 368.372}, {""x"": 209.169, ""y"": 354.817}, {""x"": 201.196, ""y"": 310.963}, {""x"": 198.007, ""y"": 285.449}, {""x"": 199.601, ""y"": 217.674}]"
120,"[{""x"": 195.575, ""y"": 232.436}, {""x"": 194.241, ""y"": 180.436}, {""x"": 212.908, ""y"": 159.102}, {""x"": 250.241, ""y"": 133.102}, {""x"": 274.241, ""y"": 123.102}, {""x"": 274.241, ""y"": 106.436}, {""x"": 284.908, ""y"": 99.102}, {""x"": 296.908, ""y"": 111.769}, {""x"": 335.575, ""y"": 89.769}, {""x"": 378.908, ""y"": 85.769}, {""x"": 398.241, ""y"": 117.769}, {""x"": 412.908, ""y"": 191.769}, {""x"": 412.908, ""y"": 255.102}, {""x"": 392.908, ""y"": 288.436}, {""x"": 330.241, ""y"": 313.102}, {""x"": 298.908, ""y"": 299.102}, {""x"": 273.575, ""y"": 300.436}, {""x"": 265.575, ""y"": 317.769}, {""x"": 231.575, ""y"": 315.769}, {""x"": 224.241, ""y"": 305.102}, {""x"": 208.908, ""y"": 289.769}, {""x"": 195.575, ""y"": 241.102}]"
121,"[{""x"": 193.223, ""y"": 228.837}, {""x"": 194.817, ""y"": 180.199}, {""x"": 221.927, ""y"": 151.495}, {""x"": 269.767, ""y"": 123.588}, {""x"": 280.93, ""y"": 100.465}, {""x"": 299.269, ""y"": 114.02}, {""x"": 334.352, ""y"": 93.289}, {""x"": 379.801, ""y"": 87.708}, {""x"": 406.113, ""y"": 156.279}, {""x"": 415.681, ""y"": 244.784}, {""x"": 396.545, ""y"": 280.664}, {""x"": 330.365, ""y"": 314.95}, {""x"": 282.525, ""y"": 296.611}, {""x"": 265.781, ""y"": 318.937}, {""x"": 230.698, ""y"": 318.14}, {""x"": 221.13, ""y"": 299.801}, {""x"": 208.372, ""y"": 288.638}, {""x"": 195.615, ""y"": 239.203}]"
122,"[{""x"": 195.633, ""y"": 247.846}, {""x"": 193.633, ""y"": 179.846}, {""x"": 220.299, ""y"": 151.179}, {""x"": 268.299, ""y"": 123.846}, {""x"": 298.299, ""y"": 109.846}, {""x"": 353.633, ""y"": 85.179}, {""x"": 389.633, ""y"": 92.513}, {""x"": 406.299, ""y"": 164.513}, {""x"": 412.966, ""y"": 254.513}, {""x"": 396.966, ""y"": 287.846}, {""x"": 325.633, ""y"": 321.179}, {""x"": 286.966, ""y"": 302.513}, {""x"": 268.299, ""y"": 311.179}, {""x"": 259.633, ""y"": 327.179}, {""x"": 225.633, ""y"": 313.179}, {""x"": 222.299, ""y"": 299.179}, {""x"": 209.633, ""y"": 291.179}, {""x"": 197.633, ""y"": 254.513}]"
123,"[{""x"": 196.712, ""y"": 249.002}, {""x"": 193.712, ""y"": 182.002}, {""x"": 215.712, ""y"": 153.502}, {""x"": 269.212, ""y"": 120.502}, {""x"": 280.712, ""y"": 99.502}, {""x"": 296.212, ""y"": 109.502}, {""x"": 324.712, ""y"": 94.002}, {""x"": 377.212, ""y"": 82.002}, {""x"": 405.212, ""y"": 169.502}, {""x"": 411.212, ""y"": 258.002}, {""x"": 396.712, ""y"": 283.002}, {""x"": 329.212, ""y"": 315.002}, {""x"": 295.212, ""y"": 297.502}, {""x"": 267.712, ""y"": 309.502}, {""x"": 263.212, ""y"": 321.502}, {""x"": 228.712, ""y"": 315.502}, {""x"": 224.212, ""y"": 301.502}, {""x"": 207.712, ""y"": 286.502}, {""x"": 199.712, ""y"": 255.502}]"
124,"[{""x"": 196.243, ""y"": 235.871}, {""x"": 195.577, ""y"": 171.871}, {""x"": 236.91, ""y"": 135.205}, {""x"": 276.243, ""y"": 115.205}, {""x"": 305.577, ""y"": 103.871}, {""x"": 376.91, ""y"": 78.538}, {""x"": 410.91, ""y"": 164.538}, {""x"": 410.91, ""y"": 231.871}, {""x"": 394.243, ""y"": 279.871}, {""x"": 329.577, ""y"": 313.871}, {""x"": 298.243, ""y"": 296.538}, {""x"": 264.243, ""y"": 306.538}, {""x"": 267.577, ""y"": 323.205}, {""x"": 230.91, ""y"": 313.871}, {""x"": 224.91, ""y"": 302.538}, {""x"": 213.577, ""y"": 291.871}, {""x"": 197.577, ""y"": 246.538}]"
125,"[{""x"": 193.987, ""y"": 239.76}, {""x"": 193.987, ""y"": 176.426}, {""x"": 225.987, ""y"": 140.426}, {""x"": 266.654, ""y"": 119.093}, {""x"": 321.987, ""y"": 92.426}, {""x"": 368.654, ""y"": 81.093}, {""x"": 395.987, ""y"": 119.76}, {""x"": 412.654, ""y"": 222.426}, {""x"": 396.654, ""y"": 277.76}, {""x"": 330.654, ""y"": 314.426}, {""x"": 288.654, ""y"": 294.426}, {""x"": 258.654, ""y"": 307.76}, {""x"": 263.987, ""y"": 319.093}, {""x"": 230.654, ""y"": 314.426}, {""x"": 225.32, ""y"": 297.093}, {""x"": 210.654, ""y"": 277.76}, {""x"": 196.654, ""y"": 246.426}]"
126,"[{""x"": 205.88, ""y"": 277.021}, {""x"": 194.547, ""y"": 221.021}, {""x"": 193.88, ""y"": 173.688}, {""x"": 235.88, ""y"": 127.688}, {""x"": 270.546, ""y"": 113.688}, {""x"": 273.213, ""y"": 97.688}, {""x"": 286.546, ""y"": 92.354}, {""x"": 292.546, ""y"": 105.688}, {""x"": 337.213, ""y"": 81.688}, {""x"": 367.88, ""y"": 77.021}, {""x"": 389.213, ""y"": 89.688}, {""x"": 406.546, ""y"": 174.354}, {""x"": 408.546, ""y"": 256.354}, {""x"": 387.88, ""y"": 275.021}, {""x"": 331.88, ""y"": 311.688}, {""x"": 305.213, ""y"": 298.354}, {""x"": 270.546, ""y"": 297.021}, {""x"": 263.88, ""y"": 325.021}, {""x"": 232.546, ""y"": 315.688}, {""x"": 224.546, ""y"": 295.021}, {""x"": 210.546, ""y"": 284.354}]"
127,"[{""x"": 204.155, ""y"": 272.266}, {""x"": 192.821, ""y"": 181.599}, {""x"": 220.155, ""y"": 138.266}, {""x"": 246.821, ""y"": 120.932}, {""x"": 272.155, ""y"": 108.266}, {""x"": 272.821, ""y"": 95.599}, {""x"": 288.155, ""y"": 90.932}, {""x"": 290.821, ""y"": 100.266}, {""x"": 327.488, ""y"": 82.266}, {""x"": 345.488, ""y"": 76.932}, {""x"": 376.155, ""y"": 77.599}, {""x"": 405.488, ""y"": 153.599}, {""x"": 408.821, ""y"": 237.599}, {""x"": 394.821, ""y"": 266.932}, {""x"": 330.821, ""y"": 309.599}, {""x"": 296.155, ""y"": 293.599}, {""x"": 266.155, ""y"": 304.266}, {""x"": 264.155, ""y"": 322.932}, {""x"": 230.155, ""y"": 311.599}, {""x"": 225.488, ""y"": 297.599}, {""x"": 205.488, ""y"": 282.266}]"
128,"[{""x"": 197.87, ""y"": 248.494}, {""x"": 191.87, ""y"": 177.161}, {""x"": 224.537, ""y"": 132.494}, {""x"": 277.87, ""y"": 103.161}, {""x"": 302.537, ""y"": 95.161}, {""x"": 324.537, ""y"": 76.494}, {""x"": 371.87, ""y"": 74.494}, {""x"": 397.204, ""y"": 117.827}, {""x"": 406.537, ""y"": 189.827}, {""x"": 405.87, ""y"": 253.827}, {""x"": 330.537, ""y"": 310.494}, {""x"": 305.204, ""y"": 288.494}, {""x"": 267.204, ""y"": 297.827}, {""x"": 265.204, ""y"": 323.161}, {""x"": 228.537, ""y"": 316.494}, {""x"": 222.537, ""y"": 291.827}, {""x"": 210.537, ""y"": 282.494}, {""x"": 203.204, ""y"": 259.827}]"
129,"[{""x"": 200.903, ""y"": 260.946}, {""x"": 194.903, ""y"": 169.613}, {""x"": 240.236, ""y"": 115.613}, {""x"": 269.569, ""y"": 107.613}, {""x"": 270.236, ""y"": 92.946}, {""x"": 282.236, ""y"": 84.946}, {""x"": 290.236, ""y"": 101.613}, {""x"": 332.903, ""y"": 73.613}, {""x"": 374.236, ""y"": 73.613}, {""x"": 400.903, ""y"": 150.279}, {""x"": 408.903, ""y"": 228.279}, {""x"": 392.236, ""y"": 262.946}, {""x"": 332.903, ""y"": 311.613}, {""x"": 301.569, ""y"": 287.613}, {""x"": 271.569, ""y"": 294.946}, {""x"": 268.903, ""y"": 324.279}, {""x"": 234.236, ""y"": 316.279}, {""x"": 222.903, ""y"": 292.946}, {""x"": 203.569, ""y"": 268.279}]"
13,"[{""x"": 200.399, ""y"": 217.674}, {""x"": 205.98, ""y"": 154.684}, {""x"": 217.94, ""y"": 121.196}, {""x"": 228.306, ""y"": 87.708}, {""x"": 268.97, ""y"": 73.355}, {""x"": 323.987, ""y"": 88.505}, {""x"": 345.515, ""y"": 116.412}, {""x"": 335.947, ""y"": 253.555}, {""x"": 319.203, ""y"": 263.92}, {""x"": 318.405, ""y"": 318.14}, {""x"": 329.568, ""y"": 340.465}, {""x"": 317.608, ""y"": 362.791}, {""x"": 296.877, ""y"": 366.777}, {""x"": 249.834, ""y"": 369.967}, {""x"": 208.372, ""y"": 350.831}, {""x"": 208.372, ""y"": 314.153}, {""x"": 198.804, ""y"": 282.259}, {""x"": 203.588, ""y"": 224.85}]"
