count,points
18,"[{""x"": 209.169, ""y"": 224.85}, {""x"": 217.94, ""y"": 161.86}, {""x"": 225.914, ""y"": 141.927}, {""x"": 233.887, ""y"": 106.844}, {""x"": 245.847, ""y"": 81.329}, {""x"": 292.093, ""y"": 74.153}, {""x"": 320.797, ""y"": 85.316}, {""x"": 358.272, ""y"": 118.007}, {""x"": 364.651, ""y"": 141.13}, {""x"": 347.11, ""y"": 255.947}, {""x"": 320.797, ""y"": 279.867}, {""x"": 325.581, ""y"": 326.113}, {""x"": 331.96, ""y"": 344.452}, {""x"": 313.621, ""y"": 369.967}, {""x"": 288.904, ""y"": 377.94}, {""x"": 243.455, ""y"": 371.561}, {""x"": 209.169, ""y"": 354.02}, {""x"": 201.993, ""y"": 310.963}, {""x"": 204.385, ""y"": 273.488}, {""x"": 205.183, ""y"": 235.216}]"
19,"[{""x"": 209.169, ""y"": 224.85}, {""x"": 223.522, ""y"": 156.279}, {""x"": 230.698, ""y"": 133.156}, {""x"": 254.618, ""y"": 81.329}, {""x"": 299.269, ""y"": 78.937}, {""x"": 345.515, ""y"": 102.857}, {""x"": 368.638, ""y"": 137.94}, {""x"": 346.312, ""y"": 265.515}, {""x"": 323.189, ""y"": 284.651}, {""x"": 326.379, ""y"": 349.236}, {""x"": 318.405, ""y"": 377.94}, {""x"": 290.498, ""y"": 382.724}, {""x"": 241.063, ""y"": 371.561}, {""x"": 209.967, ""y"": 352.425}, {""x"": 201.993, ""y"": 307.774}, {""x"": 203.588, ""y"": 284.651}, {""x"": 203.588, ""y"": 233.621}]"
2,"[{""x"": 198.007, ""y"": 215.282}, {""x"": 197.209, ""y"": 161.063}, {""x"": 203.588, ""y"": 125.98}, {""x"": 207.575, ""y"": 88.505}, {""x"": 255.415, ""y"": 66.179}, {""x"": 297.674, ""y"": 74.153}, {""x"": 323.987, ""y"": 100.465}, {""x"": 331.96, ""y"": 118.007}, {""x"": 330.365, ""y"": 238.405}, {""x"": 317.608, ""y"": 257.542}, {""x"": 323.189, ""y"": 295.814}, {""x"": 329.568, ""y"": 323.721}, {""x"": 318.405, ""y"": 347.641}, {""x"": 304.85, ""y"": 350.033}, {""x"": 257.807, ""y"": 365.98}, {""x"": 215.548, ""y"": 359.601}, {""x"": 203.588, ""y"": 317.342}, {""x"": 198.804, ""y"": 284.651}, {""x"": 195.615, ""y"": 226.445}]"
20,"[{""x"": 213.156, ""y"": 186.578}, {""x"": 225.116, ""y"": 148.306}, {""x"": 243.455, ""y"": 109.236}, {""x"": 257.01, ""y"": 79.734}, {""x"": 299.269, ""y"": 81.329}, {""x"": 335.947, ""y"": 94.086}, {""x"": 361.462, ""y"": 122.791}, {""x"": 373.422, ""y"": 154.684}, {""x"": 366.246, ""y"": 198.538}, {""x"": 356.678, ""y"": 228.04}, {""x"": 339.136, ""y"": 276.678}, {""x"": 323.189, ""y"": 291.827}, {""x"": 323.189, ""y"": 352.425}, {""x"": 309.635, ""y"": 379.535}, {""x"": 288.904, ""y"": 385.914}, {""x"": 253.821, ""y"": 378.738}, {""x"": 210.764, ""y"": 356.412}, {""x"": 198.804, ""y"": 329.302}, {""x"": 200.399, ""y"": 300.598}, {""x"": 196.412, ""y"": 278.272}, {""x"": 211.561, ""y"": 196.146}]"
21,"[{""x"": 208.372, ""y"": 212.093}, {""x"": 223.522, ""y"": 151.495}, {""x"": 233.09, ""y"": 133.156}, {""x"": 257.807, ""y"": 84.518}, {""x"": 300.066, ""y"": 80.532}, {""x"": 329.568, ""y"": 94.884}, {""x"": 367.841, ""y"": 131.561}, {""x"": 375.814, ""y"": 161.063}, {""x"": 345.515, ""y"": 275.88}, {""x"": 320, ""y"": 284.651}, {""x"": 322.392, ""y"": 365.98}, {""x"": 310.432, ""y"": 381.13}, {""x"": 288.106, ""y"": 384.319}, {""x"": 233.09, ""y"": 377.143}, {""x"": 205.183, ""y"": 351.628}, {""x"": 198.804, ""y"": 327.708}, {""x"": 199.601, ""y"": 293.422}, {""x"": 197.209, ""y"": 275.88}, {""x"": 205.183, ""y"": 228.04}]"
22,"[{""x"": 208.372, ""y"": 215.282}, {""x"": 224.319, ""y"": 153.09}, {""x"": 240.266, ""y"": 133.953}, {""x"": 262.591, ""y"": 84.518}, {""x"": 310.432, ""y"": 85.316}, {""x"": 351.894, ""y"": 112.425}, {""x"": 376.611, ""y"": 151.495}, {""x"": 371.827, ""y"": 175.415}, {""x"": 348.704, ""y"": 281.462}, {""x"": 327.176, ""y"": 289.435}, {""x"": 316.811, ""y"": 319.734}, {""x"": 323.189, ""y"": 361.196}, {""x"": 311.229, ""y"": 385.914}, {""x"": 288.904, ""y"": 389.9}, {""x"": 239.468, ""y"": 381.13}, {""x"": 200.399, ""y"": 347.641}, {""x"": 197.209, ""y"": 312.558}, {""x"": 198.007, ""y"": 274.286}, {""x"": 205.98, ""y"": 228.04}]"
23,"[{""x"": 215.548, ""y"": 196.146}, {""x"": 232.292, ""y"": 157.076}, {""x"": 245.05, ""y"": 131.561}, {""x"": 267.375, ""y"": 90.1}, {""x"": 314.419, ""y"": 90.897}, {""x"": 359.07, ""y"": 118.804}, {""x"": 377.409, ""y"": 154.684}, {""x"": 377.409, ""y"": 180.997}, {""x"": 351.894, ""y"": 281.462}, {""x"": 327.973, ""y"": 291.03}, {""x"": 320, ""y"": 316.545}, {""x"": 323.987, ""y"": 365.183}, {""x"": 304.85, ""y"": 389.103}, {""x"": 282.525, ""y"": 394.684}, {""x"": 219.535, ""y"": 368.372}, {""x"": 200.399, ""y"": 344.452}, {""x"": 200.399, ""y"": 297.409}, {""x"": 197.209, ""y"": 275.88}, {""x"": 198.804, ""y"": 253.555}, {""x"": 213.953, ""y"": 205.714}]"
24,"[{""x"": 214.751, ""y"": 203.322}, {""x"": 232.292, ""y"": 149.9}, {""x"": 245.847, ""y"": 132.359}, {""x"": 268.173, ""y"": 88.505}, {""x"": 320, ""y"": 88.505}, {""x"": 361.462, ""y"": 122.791}, {""x"": 378.206, ""y"": 157.874}, {""x"": 379.801, ""y"": 188.173}, {""x"": 351.894, ""y"": 286.246}, {""x"": 320.797, ""y"": 298.206}, {""x"": 323.189, ""y"": 368.372}, {""x"": 310.432, ""y"": 388.306}, {""x"": 281.728, ""y"": 393.887}, {""x"": 229.9, ""y"": 374.751}, {""x"": 201.196, ""y"": 346.047}, {""x"": 199.601, ""y"": 295.017}, {""x"": 205.183, ""y"": 263.123}, {""x"": 214.751, ""y"": 215.282}]"
25,"[{""x"": 214.751, ""y"": 205.714}, {""x"": 233.887, ""y"": 149.103}, {""x"": 246.645, ""y"": 137.143}, {""x"": 274.551, ""y"": 87.708}, {""x"": 295.282, ""y"": 84.518}, {""x"": 324.784, ""y"": 92.492}, {""x"": 358.272, ""y"": 112.425}, {""x"": 382.193, ""y"": 159.468}, {""x"": 379.003, ""y"": 187.375}, {""x"": 351.894, ""y"": 283.056}, {""x"": 326.379, ""y"": 295.814}, {""x"": 323.189, ""y"": 367.575}, {""x"": 309.635, ""y"": 387.508}, {""x"": 284.917, ""y"": 393.09}, {""x"": 231.495, ""y"": 375.548}, {""x"": 200.399, ""y"": 337.276}, {""x"": 199.601, ""y"": 303.787}, {""x"": 198.007, ""y"": 269.502}, {""x"": 209.967, ""y"": 218.472}]"
26,"[{""x"": 209.967, ""y"": 213.688}, {""x"": 231.495, ""y"": 151.495}, {""x"": 246.645, ""y"": 136.346}, {""x"": 266.578, ""y"": 94.086}, {""x"": 284.917, ""y"": 85.316}, {""x"": 323.189, ""y"": 89.302}, {""x"": 358.272, ""y"": 118.007}, {""x"": 386.977, ""y"": 155.482}, {""x"": 382.193, ""y"": 193.754}, {""x"": 354.286, ""y"": 285.449}, {""x"": 323.987, ""y"": 291.827}, {""x"": 321.595, ""y"": 333.289}, {""x"": 324.784, ""y"": 365.183}, {""x"": 310.432, ""y"": 387.508}, {""x"": 282.525, ""y"": 391.495}, {""x"": 224.319, ""y"": 371.561}, {""x"": 198.804, ""y"": 338.073}, {""x"": 201.196, ""y"": 301.395}, {""x"": 198.007, ""y"": 266.312}, {""x"": 208.372, ""y"": 226.445}]"
27,"[{""x"": 211.561, ""y"": 211.296}, {""x"": 230.698, ""y"": 149.103}, {""x"": 248.239, ""y"": 137.94}, {""x"": 271.362, ""y"": 92.492}, {""x"": 296.08, ""y"": 81.329}, {""x"": 332.757, ""y"": 91.694}, {""x"": 376.611, ""y"": 135.548}, {""x"": 390.166, ""y"": 169.834}, {""x"": 355.083, ""y"": 283.854}, {""x"": 324.784, ""y"": 289.435}, {""x"": 319.203, ""y"": 319.734}, {""x"": 324.784, ""y"": 365.183}, {""x"": 311.229, ""y"": 388.306}, {""x"": 284.917, ""y"": 390.698}, {""x"": 230.698, ""y"": 374.751}, {""x"": 201.196, ""y"": 346.047}, {""x"": 198.804, ""y"": 302.193}, {""x"": 198.007, ""y"": 270.299}, {""x"": 205.98, ""y"": 222.458}]"
28,"[{""x"": 214.751, ""y"": 212.093}, {""x"": 229.9, ""y"": 149.103}, {""x"": 249.834, ""y"": 135.548}, {""x"": 274.551, ""y"": 81.329}, {""x"": 332.757, ""y"": 90.1}, {""x"": 370.233, ""y"": 125.98}, {""x"": 385.382, ""y"": 151.495}, {""x"": 384.585, ""y"": 185.781}, {""x"": 355.88, ""y"": 285.449}, {""x"": 331.96, ""y"": 291.827}, {""x"": 323.189, ""y"": 310.963}, {""x"": 324.784, ""y"": 370.764}, {""x"": 310.432, ""y"": 387.508}, {""x"": 283.322, ""y"": 389.9}, {""x"": 230.698, ""y"": 366.777}, {""x"": 211.561, ""y"": 354.817}, {""x"": 198.804, ""y"": 333.289}, {""x"": 199.601, ""y"": 299.003}, {""x"": 198.007, ""y"": 271.096}, {""x"": 208.372, ""y"": 220.864}]"
29,"[{""x"": 209.967, ""y"": 209.701}, {""x"": 233.09, ""y"": 145.914}, {""x"": 247.442, ""y"": 132.359}, {""x"": 268.97, ""y"": 89.302}, {""x"": 288.106, ""y"": 74.153}, {""x"": 323.189, ""y"": 83.721}, {""x"": 376.611, ""y"": 122.791}, {""x"": 390.963, ""y"": 164.252}, {""x"": 384.585, ""y"": 184.186}, {""x"": 370.233, ""y"": 192.957}, {""x"": 363.056, ""y"": 218.472}, {""x"": 371.03, ""y"": 232.824}, {""x"": 355.083, ""y"": 281.462}, {""x"": 331.163, ""y"": 285.449}, {""x"": 318.405, ""y"": 318.14}, {""x"": 322.392, ""y"": 362.791}, {""x"": 306.445, ""y"": 384.319}, {""x"": 284.12, ""y"": 387.508}, {""x"": 234.684, ""y"": 369.169}, {""x"": 199.601, ""y"": 336.478}, {""x"": 201.196, ""y"": 294.219}, {""x"": 196.412, ""y"": 259.934}, {""x"": 208.372, ""y"": 220.066}]"
3,"[{""x"": 198.804, ""y"": 275.88}, {""x"": 198.007, ""y"": 157.874}, {""x"": 200.399, ""y"": 124.385}, {""x"": 209.967, ""y"": 85.316}, {""x"": 249.834, ""y"": 64.585}, {""x"": 273.754, ""y"": 65.382}, {""x"": 304.85, ""y"": 74.95}, {""x"": 328.771, ""y"": 99.668}, {""x"": 331.96, ""y"": 134.751}, {""x"": 332.757, ""y"": 185.781}, {""x"": 333.555, ""y"": 233.621}, {""x"": 322.392, ""y"": 254.352}, {""x"": 323.189, ""y"": 298.206}, {""x"": 327.176, ""y"": 331.694}, {""x"": 312.027, ""y"": 352.425}, {""x"": 263.389, ""y"": 365.183}, {""x"": 219.535, ""y"": 356.412}, {""x"": 209.967, ""y"": 323.721}, {""x"": 198.007, ""y"": 286.246}]"
30,"[{""x"": 213.953, ""y"": 204.12}, {""x"": 237.076, ""y"": 145.116}, {""x"": 253.821, ""y"": 117.209}, {""x"": 276.146, ""y"": 74.95}, {""x"": 301.661, ""y"": 71.761}, {""x"": 342.326, ""y"": 86.91}, {""x"": 386.179, ""y"": 136.346}, {""x"": 393.355, ""y"": 166.645}, {""x"": 358.272, ""y"": 282.259}, {""x"": 339.136, ""y"": 280.664}, {""x"": 321.595, ""y"": 302.99}, {""x"": 323.987, ""y"": 361.993}, {""x"": 306.445, ""y"": 378.738}, {""x"": 284.12, ""y"": 386.711}, {""x"": 234.684, ""y"": 364.385}, {""x"": 201.196, ""y"": 328.505}, {""x"": 202.791, ""y"": 298.206}, {""x"": 200.399, ""y"": 266.312}, {""x"": 209.967, ""y"": 217.674}]"
31,"[{""x"": 213.953, ""y"": 204.12}, {""x"": 235.482, ""y"": 151.495}, {""x"": 254.618, ""y"": 123.588}, {""x"": 282.525, ""y"": 74.95}, {""x"": 306.445, ""y"": 74.153}, {""x"": 336.744, ""y"": 81.329}, {""x"": 386.977, ""y"": 129.169}, {""x"": 397.342, ""y"": 164.252}, {""x"": 359.07, ""y"": 279.07}, {""x"": 332.757, ""y"": 282.259}, {""x"": 321.595, ""y"": 312.558}, {""x"": 327.176, ""y"": 357.209}, {""x"": 313.621, ""y"": 377.143}, {""x"": 281.728, ""y"": 381.927}, {""x"": 230.698, ""y"": 361.993}, {""x"": 203.588, ""y"": 327.708}, {""x"": 201.993, ""y"": 291.03}, {""x"": 202.791, ""y"": 259.136}, {""x"": 211.561, ""y"": 215.282}]"
32,"[{""x"": 214.751, ""y"": 211.296}, {""x"": 239.468, ""y"": 144.319}, {""x"": 256.213, ""y"": 125.183}, {""x"": 284.12, ""y"": 72.558}, {""x"": 326.379, ""y"": 74.95}, {""x"": 354.286, ""y"": 86.113}, {""x"": 376.611, ""y"": 115.615}, {""x"": 398.14, ""y"": 145.116}, {""x"": 397.342, ""y"": 181.794}, {""x"": 362.259, ""y"": 275.88}, {""x"": 329.568, ""y"": 285.449}, {""x"": 320.797, ""y"": 327.708}, {""x"": 331.96, ""y"": 361.196}, {""x"": 304.053, ""y"": 380.332}, {""x"": 284.917, ""y"": 377.143}, {""x"": 233.887, ""y"": 357.209}, {""x"": 204.385, ""y"": 329.302}, {""x"": 201.196, ""y"": 285.449}, {""x"": 202.791, ""y"": 247.973}, {""x"": 210.764, ""y"": 221.661}]"
33,"[{""x"": 212.359, ""y"": 229.635}, {""x"": 241.86, ""y"": 139.535}, {""x"": 255.415, ""y"": 125.98}, {""x"": 281.728, ""y"": 78.937}, {""x"": 303.256, ""y"": 68.571}, {""x"": 342.326, ""y"": 74.95}, {""x"": 388.571, ""y"": 118.007}, {""x"": 399.734, ""y"": 160.266}, {""x"": 393.355, ""y"": 196.146}, {""x"": 364.651, ""y"": 275.083}, {""x"": 339.136, ""y"": 282.259}, {""x"": 323.189, ""y"": 310.963}, {""x"": 327.176, ""y"": 354.02}, {""x"": 310.432, ""y"": 373.156}, {""x"": 285.714, ""y"": 380.332}, {""x"": 237.076, ""y"": 358.007}, {""x"": 207.575, ""y"": 322.126}, {""x"": 209.169, ""y"": 291.827}, {""x"": 204.385, ""y"": 263.92}, {""x"": 208.372, ""y"": 237.608}]"
34,"[{""x"": 224.319, ""y"": 192.957}, {""x"": 244.252, ""y"": 133.156}, {""x"": 264.186, ""y"": 114.817}, {""x"": 291.296, ""y"": 67.774}, {""x"": 304.85, ""y"": 64.585}, {""x"": 345.515, ""y"": 74.153}, {""x"": 391.761, ""y"": 121.196}, {""x"": 403.721, ""y"": 157.076}, {""x"": 396.545, ""y"": 182.591}, {""x"": 365.449, ""y"": 277.475}, {""x"": 340.731, ""y"": 276.678}, {""x"": 329.568, ""y"": 302.193}, {""x"": 331.96, ""y"": 346.844}, {""x"": 320, ""y"": 368.372}, {""x"": 288.904, ""y"": 375.548}, {""x"": 233.887, ""y"": 350.831}, {""x"": 208.372, ""y"": 316.545}, {""x"": 210.764, ""y"": 287.841}, {""x"": 207.575, ""y"": 256.744}, {""x"": 219.535, ""y"": 202.525}]"
35,"[{""x"": 218.738, ""y"": 215.282}, {""x"": 249.834, ""y"": 129.169}, {""x"": 264.186, ""y"": 117.209}, {""x"": 294.485, ""y"": 66.977}, {""x"": 308.04, ""y"": 62.193}, {""x"": 345.515, ""y"": 74.153}, {""x"": 393.355, ""y"": 121.993}, {""x"": 404.518, ""y"": 136.346}, {""x"": 398.937, ""y"": 175.415}, {""x"": 383.787, ""y"": 220.066}, {""x"": 367.841, ""y"": 275.88}, {""x"": 339.136, ""y"": 279.07}, {""x"": 329.568, ""y"": 311.761}, {""x"": 336.744, ""y"": 350.831}, {""x"": 310.432, ""y"": 369.967}, {""x"": 291.296, ""y"": 374.751}, {""x"": 236.279, ""y"": 343.654}, {""x"": 209.169, ""y"": 313.355}, {""x"": 212.359, ""y"": 271.894}, {""x"": 214.751, ""y"": 228.04}]"
36,"[{""x"": 230.698, ""y"": 192.957}, {""x"": 252.226, ""y"": 138.738}, {""x"": 268.97, ""y"": 114.02}, {""x"": 291.296, ""y"": 72.558}, {""x"": 310.432, ""y"": 57.409}, {""x"": 346.312, ""y"": 66.179}, {""x"": 374.219, ""y"": 90.897}, {""x"": 405.316, ""y"": 132.359}, {""x"": 410.1, ""y"": 167.442}, {""x"": 383.787, ""y"": 230.432}, {""x"": 371.03, ""y"": 268.704}, {""x"": 339.136, ""y"": 275.083}, {""x"": 330.365, ""y"": 298.206}, {""x"": 335.947, ""y"": 336.478}, {""x"": 318.405, ""y"": 365.183}, {""x"": 295.282, ""y"": 369.169}, {""x"": 244.252, ""y"": 346.844}, {""x"": 213.953, ""y"": 307.774}, {""x"": 219.535, ""y"": 275.88}, {""x"": 216.346, ""y"": 250.365}, {""x"": 225.116, ""y"": 209.701}]"
37,"[{""x"": 236.279, ""y"": 188.173}, {""x"": 257.01, ""y"": 130.764}, {""x"": 268.97, ""y"": 114.02}, {""x"": 301.661, ""y"": 63.787}, {""x"": 317.608, ""y"": 57.409}, {""x"": 367.841, ""y"": 74.95}, {""x"": 404.518, ""y"": 121.196}, {""x"": 411.694, ""y"": 150.698}, {""x"": 404.518, ""y"": 172.226}, {""x"": 374.219, ""y"": 267.907}, {""x"": 339.136, ""y"": 272.691}, {""x"": 335.15, ""y"": 299.003}, {""x"": 339.136, ""y"": 336.478}, {""x"": 326.379, ""y"": 358.804}, {""x"": 314.419, ""y"": 358.007}, {""x"": 292.89, ""y"": 361.993}, {""x"": 252.226, ""y"": 341.262}, {""x"": 217.94, ""y"": 314.95}, {""x"": 214.751, ""y"": 283.854}, {""x"": 219.535, ""y"": 258.339}, {""x"": 215.548, ""y"": 243.189}, {""x"": 230.698, ""y"": 199.336}]"
38,"[{""x"": 237.874, ""y"": 180.199}, {""x"": 264.983, ""y"": 122.791}, {""x"": 275.349, ""y"": 102.857}, {""x"": 308.837, ""y"": 51.03}, {""x"": 330.365, ""y"": 48.638}, {""x"": 368.638, ""y"": 71.761}, {""x"": 409.302, ""y"": 122.791}, {""x"": 415.681, ""y"": 152.292}, {""x"": 375.814, ""y"": 256.744}, {""x"": 342.326, ""y"": 274.286}, {""x"": 335.15, ""y"": 306.179}, {""x"": 342.326, ""y"": 338.87}, {""x"": 323.189, ""y"": 355.615}, {""x"": 297.674, ""y"": 358.007}, {""x"": 250.631, ""y"": 338.073}, {""x"": 225.116, ""y"": 310.963}, {""x"": 216.346, ""y"": 291.03}, {""x"": 219.535, ""y"": 259.934}, {""x"": 218.738, ""y"": 234.419}, {""x"": 237.076, ""y"": 189.767}]"
