count,faces,points,x-range,y-range
618,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[143, 273], [143, 106], [305, 321], [305, 154], [315, 353], [315, 187], [153, 305], [153, 138]]",172,247
619,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[140, 266], [140, 100], [302, 327], [302, 161], [311, 359], [311, 193], [149, 298], [149, 132]]",171,259
620,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[138, 266], [138, 102], [299, 328], [299, 165], [309, 361], [309, 197], [148, 298], [148, 135]]",171,259
621,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[136, 272], [136, 105], [296, 328], [296, 161], [306, 360], [306, 193], [146, 304], [146, 137]]",170,255
622,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[134, 292], [134, 128], [299, 315], [299, 151], [319, 343], [319, 178], [154, 319], [154, 155]]",185,215
623,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[134, 296], [134, 130], [296, 319], [296, 153], [315, 344], [315, 178], [152, 321], [152, 155]]",181,214
624,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[136, 294], [136, 130], [294, 324], [294, 160], [309, 346], [309, 181], [152, 315], [152, 151]]",173,216
625,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[132, 301], [132, 135], [291, 324], [291, 157], [308, 347], [308, 180], [149, 324], [149, 158]]",176,212
626,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[131, 298], [131, 134], [291, 328], [291, 164], [308, 351], [308, 187], [148, 321], [148, 157]]",177,217
627,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[131, 293], [131, 130], [288, 329], [288, 167], [304, 351], [304, 189], [147, 315], [147, 152]]",173,221
628,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[128, 301], [128, 137], [292, 327], [292, 162], [312, 354], [312, 190], [147, 328], [147, 164]]",184,217
629,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[131, 301], [131, 139], [291, 324], [291, 162], [309, 348], [309, 186], [148, 325], [148, 163]]",178,209
630,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[131, 303], [131, 139], [293, 326], [293, 162], [311, 350], [311, 186], [149, 327], [149, 163]]",180,211
631,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[134, 295], [134, 137], [291, 325], [291, 167], [309, 351], [309, 192], [152, 320], [152, 162]]",175,214
632,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[131, 296], [131, 135], [292, 329], [292, 167], [308, 350], [308, 188], [147, 317], [147, 156]]",177,215
633,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[132, 284], [132, 127], [291, 330], [291, 173], [306, 351], [306, 193], [147, 305], [147, 147]]",174,224
634,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[132, 284], [132, 127], [291, 330], [291, 173], [306, 351], [306, 193], [147, 305], [147, 147]]",174,224
635,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[132, 284], [132, 127], [291, 330], [291, 173], [306, 351], [306, 193], [147, 305], [147, 147]]",174,224
636,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[129, 284], [129, 126], [291, 330], [291, 173], [306, 351], [306, 193], [144, 304], [144, 147]]",177,225
637,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[130, 285], [130, 126], [291, 331], [291, 173], [306, 352], [306, 193], [145, 305], [145, 147]]",176,226
638,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[128, 283], [128, 126], [291, 330], [291, 173], [306, 351], [306, 193], [143, 304], [143, 146]]",178,225
639,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[130, 284], [130, 126], [291, 330], [291, 173], [306, 351], [306, 193], [145, 304], [145, 147]]",176,225
640,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[129, 284], [129, 126], [289, 330], [289, 173], [304, 351], [304, 193], [144, 304], [144, 147]]",175,225
641,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[130, 286], [130, 126], [291, 333], [291, 173], [306, 353], [306, 193], [145, 307], [145, 147]]",176,227
642,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[132, 284], [132, 127], [291, 330], [291, 173], [306, 351], [306, 193], [147, 305], [147, 147]]",174,224
643,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[131, 288], [131, 126], [293, 334], [293, 171], [308, 355], [308, 192], [146, 309], [146, 146]]",177,229
644,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[131, 283], [131, 118], [296, 342], [296, 177], [313, 364], [313, 199], [149, 305], [149, 140]]",182,246
645,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[136, 284], [136, 120], [296, 342], [296, 177], [313, 364], [313, 199], [153, 307], [153, 142]]",177,244
646,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[138, 285], [138, 122], [301, 337], [301, 174], [318, 359], [318, 196], [155, 307], [155, 144]]",180,237
647,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[142, 287], [142, 124], [307, 337], [307, 174], [323, 357], [323, 194], [158, 307], [158, 144]]",181,233
648,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[143, 286], [143, 124], [307, 336], [307, 174], [321, 361], [321, 199], [156, 311], [156, 148]]",178,237
649,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[147, 287], [147, 123], [309, 334], [309, 169], [327, 356], [327, 191], [165, 310], [165, 145]]",180,233
650,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[146, 288], [146, 123], [315, 332], [315, 167], [331, 352], [331, 187], [162, 309], [162, 144]]",185,229
651,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[150, 277], [150, 112], [315, 336], [315, 171], [332, 358], [332, 193], [168, 299], [168, 134]]",182,246
652,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[153, 281], [153, 116], [317, 325], [317, 160], [334, 347], [334, 182], [170, 303], [170, 138]]",181,231
653,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[156, 291], [156, 125], [322, 317], [322, 150], [337, 343], [337, 177], [171, 318], [171, 152]]",181,218
654,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[158, 263], [158, 98], [323, 322], [323, 157], [340, 344], [340, 179], [176, 285], [176, 120]]",182,246
655,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[158, 273], [158, 106], [325, 313], [325, 146], [336, 339], [336, 172], [169, 298], [169, 131]]",178,233
656,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[159, 270], [159, 103], [326, 311], [326, 144], [337, 337], [337, 169], [170, 296], [170, 129]]",178,234
657,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[160, 267], [160, 100], [327, 307], [327, 140], [338, 333], [338, 166], [171, 293], [171, 125]]",178,233
658,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[161, 263], [161, 96], [329, 303], [329, 136], [339, 329], [339, 162], [172, 289], [172, 122]]",178,233
659,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[160, 262], [160, 95], [327, 303], [327, 136], [338, 329], [338, 161], [171, 288], [171, 121]]",178,234
660,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[160, 262], [160, 95], [327, 303], [327, 136], [338, 329], [338, 161], [171, 288], [171, 121]]",178,234
661,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[164, 264], [164, 97], [331, 304], [331, 137], [342, 330], [342, 163], [175, 290], [175, 123]]",178,233
662,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[162, 262], [162, 95], [329, 303], [329, 136], [340, 329], [340, 161], [173, 288], [173, 121]]",178,234
663,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[159, 262], [159, 95], [326, 302], [326, 135], [337, 328], [337, 161], [169, 288], [169, 120]]",178,233
664,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[155, 261], [155, 94], [329, 303], [329, 136], [340, 329], [340, 161], [166, 287], [166, 119]]",185,235
665,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[155, 261], [155, 88], [327, 302], [327, 130], [338, 328], [338, 155], [166, 287], [166, 114]]",183,240
666,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[150, 256], [150, 85], [326, 303], [326, 131], [292, 316], [292, 144], [116, 269], [116, 98]]",210,231
667,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[151, 253], [151, 82], [325, 303], [325, 131], [287, 328], [287, 157], [113, 279], [113, 108]]",212,246
668,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[150, 250], [150, 78], [323, 299], [323, 127], [286, 325], [286, 153], [112, 276], [112, 104]]",211,247
669,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[150, 248], [150, 77], [324, 297], [324, 126], [289, 322], [289, 150], [115, 273], [115, 101]]",209,245
670,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[146, 244], [146, 73], [324, 295], [324, 123], [291, 318], [291, 146], [113, 267], [113, 96]]",211,245
671,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[146, 251], [146, 79], [324, 290], [324, 119], [286, 316], [286, 145], [108, 276], [108, 105]]",216,237
672,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[152, 243], [152, 72], [324, 292], [324, 120], [286, 318], [286, 146], [114, 269], [114, 98]]",210,246
673,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[153, 245], [153, 73], [326, 288], [326, 116], [291, 312], [291, 140], [118, 268], [118, 97]]",208,239
674,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[156, 244], [156, 73], [331, 288], [331, 116], [292, 317], [292, 145], [117, 273], [117, 102]]",214,244
675,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[157, 240], [157, 68], [331, 289], [331, 117], [297, 312], [297, 141], [123, 263], [123, 92]]",208,244
676,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[157, 242], [157, 71], [331, 282], [331, 110], [294, 307], [294, 135], [121, 267], [121, 95]]",210,236
677,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[161, 245], [161, 77], [333, 281], [333, 113], [297, 305], [297, 137], [125, 269], [125, 101]]",208,228
678,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[158, 249], [158, 82], [330, 276], [330, 108], [361, 299], [361, 131], [189, 272], [189, 104]]",203,217
679,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[158, 249], [158, 82], [329, 273], [329, 105], [360, 296], [360, 128], [189, 272], [189, 104]]",202,214
680,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[158, 249], [158, 82], [330, 276], [330, 108], [361, 299], [361, 131], [189, 272], [189, 104]]",203,217
681,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[158, 246], [158, 79], [331, 274], [331, 106], [361, 296], [361, 128], [187, 268], [187, 100]]",203,217
682,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[158, 250], [158, 82], [329, 277], [329, 109], [360, 300], [360, 132], [188, 273], [188, 105]]",202,218
683,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[158, 249], [158, 82], [330, 276], [330, 108], [361, 299], [361, 131], [189, 272], [189, 104]]",203,217
684,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[159, 246], [159, 78], [331, 273], [331, 105], [361, 296], [361, 128], [190, 269], [190, 101]]",202,218
685,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[159, 245], [159, 78], [331, 272], [331, 104], [360, 294], [360, 126], [188, 267], [188, 99]]",201,216
686,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[165, 248], [165, 80], [334, 270], [334, 102], [364, 293], [364, 125], [195, 271], [195, 103]]",199,213
687,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[164, 248], [164, 80], [337, 273], [337, 105], [367, 296], [367, 128], [195, 271], [195, 103]]",203,216
688,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[167, 246], [167, 79], [337, 271], [337, 103], [364, 291], [364, 123], [194, 267], [194, 99]]",197,212
689,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[166, 257], [166, 96], [336, 263], [336, 101], [366, 286], [366, 124], [196, 280], [196, 118]]",200,190
690,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[166, 257], [166, 96], [336, 263], [336, 101], [366, 286], [366, 124], [196, 280], [196, 118]]",200,190
691,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[166, 257], [166, 96], [336, 263], [336, 101], [366, 286], [366, 124], [196, 280], [196, 118]]",200,190
692,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[168, 264], [168, 99], [336, 269], [336, 104], [364, 290], [364, 125], [196, 285], [196, 120]]",196,191
693,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[170, 263], [170, 101], [340, 269], [340, 107], [370, 292], [370, 130], [200, 286], [200, 124]]",200,191
694,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[170, 262], [170, 98], [338, 273], [338, 110], [370, 298], [370, 131], [199, 286], [199, 120]]",200,200
695,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[170, 267], [170, 105], [340, 272], [340, 111], [369, 295], [369, 133], [198, 289], [198, 127]]",199,190
696,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[174, 270], [174, 108], [343, 275], [343, 113], [372, 297], [372, 135], [203, 291], [203, 129]]",198,189
697,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[172, 273], [172, 104], [343, 280], [343, 111], [372, 302], [372, 133], [201, 295], [201, 126]]",200,198
698,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[172, 271], [172, 105], [342, 277], [342, 111], [369, 298], [369, 131], [199, 292], [199, 126]]",197,193
699,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[171, 275], [171, 107], [346, 281], [346, 113], [375, 303], [375, 134], [200, 297], [200, 128]]",204,196
700,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[171, 282], [171, 110], [346, 285], [346, 113], [375, 303], [375, 130], [200, 300], [200, 128]]",204,193
701,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[175, 282], [175, 112], [346, 285], [346, 115], [375, 303], [375, 133], [204, 300], [204, 130]]",200,191
702,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[175, 285], [175, 116], [350, 288], [350, 118], [380, 306], [380, 136], [204, 303], [204, 133]]",205,190
703,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[175, 286], [175, 113], [348, 292], [348, 120], [377, 310], [377, 138], [204, 304], [204, 131]]",202,197
704,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[174, 291], [174, 119], [349, 294], [349, 122], [379, 310], [379, 138], [204, 307], [204, 135]]",205,191
705,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[174, 294], [174, 121], [349, 296], [349, 124], [379, 314], [379, 142], [204, 312], [204, 139]]",205,193
706,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[174, 295], [174, 124], [347, 298], [347, 127], [377, 316], [377, 145], [204, 313], [204, 142]]",203,192
707,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[174, 297], [174, 127], [347, 300], [347, 130], [376, 318], [376, 148], [203, 315], [203, 145]]",202,191
708,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[174, 299], [174, 129], [347, 301], [347, 131], [377, 320], [377, 149], [204, 317], [204, 147]]",203,191
709,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[173, 301], [173, 129], [348, 304], [348, 131], [377, 322], [377, 149], [202, 319], [202, 147]]",204,193
710,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[174, 302], [174, 130], [349, 305], [349, 133], [378, 323], [378, 151], [203, 320], [203, 148]]",204,193
711,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[154, 293], [154, 122], [348, 310], [348, 139], [370, 340], [370, 168], [176, 323], [176, 152]]",216,218
712,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[176, 297], [176, 123], [352, 312], [352, 138], [374, 342], [374, 167], [198, 326], [198, 152]]",198,219
713,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[176, 301], [176, 124], [354, 317], [354, 140], [377, 346], [377, 170], [198, 330], [198, 154]]",201,222
714,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[177, 304], [177, 127], [356, 319], [356, 142], [378, 349], [378, 172], [199, 333], [199, 157]]",201,222
715,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[178, 312], [178, 136], [357, 317], [357, 140], [379, 346], [379, 170], [200, 342], [200, 165]]",201,210
716,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[181, 313], [181, 136], [357, 310], [357, 132], [379, 338], [379, 161], [202, 342], [202, 165]]",198,210
717,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[179, 319], [179, 148], [357, 310], [357, 138], [382, 350], [382, 178], [204, 359], [204, 188]]",203,221
718,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[178, 320], [178, 148], [356, 309], [356, 137], [378, 338], [378, 166], [200, 350], [200, 178]]",200,213
719,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[179, 316], [179, 144], [356, 311], [356, 139], [378, 341], [378, 168], [201, 345], [201, 173]]",199,206
720,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[184, 319], [184, 143], [359, 319], [359, 142], [381, 349], [381, 172], [206, 349], [206, 172]]",197,207
721,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[180, 323], [180, 149], [360, 311], [360, 136], [389, 342], [389, 167], [209, 354], [209, 180]]",209,218
722,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[186, 334], [186, 162], [362, 308], [362, 136], [323, 331], [323, 158], [146, 357], [146, 184]]",216,221
723,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[187, 334], [187, 162], [364, 308], [364, 136], [324, 331], [324, 158], [148, 357], [148, 184]]",216,221
724,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[189, 334], [189, 162], [366, 308], [366, 136], [326, 331], [326, 158], [150, 357], [150, 184]]",216,221
725,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[188, 333], [188, 161], [364, 307], [364, 135], [325, 330], [325, 158], [148, 356], [148, 184]]",216,221
726,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[189, 340], [189, 168], [361, 314], [361, 142], [322, 337], [322, 165], [150, 362], [150, 190]]",211,220
727,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[183, 343], [183, 171], [360, 317], [360, 145], [321, 340], [321, 168], [144, 366], [144, 194]]",216,221
